Employee_ID,Employment_Type,Hours_Worked_Per_Week,Productivity_Score,Well_Being_Score
299,Remote,49,56,81
300,In-Office,50,57,63
301,Remote,31,77,85
302,Remote,39,81,65
303,Remote,24,72,82
304,In-Office,35,54,61
305,In-Office,39,57,53
306,Remote,25,63,77
307,In-Office,37,49,50
308,In-Office,49,63,53
309,In-Office,45,47,67
310,In-Office,47,60,75
311,In-Office,38,76,62
312,Remote,32,74,68
313,In-Office,52,54,48
314,Remote,42,67,79
315,Remote,46,70,76
316,In-Office,38,72,62
317,Remote,38,67,53
318,Remote,38,50,66
319,Remote,41,77,89
320,In-Office,51,58,60
321,In-Office,44,49,45
322,Remote,31,50,70
323,In-Office,43,48,66
324,In-Office,49,67,55
325,In-Office,48,71,64
326,In-Office,40,67,77
327,Remote,30,100,64
328,Remote,35,66,72
329,In-Office,34,59,43
330,In-Office,45,74,69
331,Remote,18,99,72
332,Remote,29,76,71
333,In-Office,40,66,50
334,Remote,32,66,55
335,In-Office,45,70,67
336,In-Office,49,68,52
337,Remote,40,58,60
338,Remote,28,87,79
339,In-Office,47,75,46
340,In-Office,47,63,72
341,Remote,34,70,75
342,In-Office,50,58,59
343,Remote,27,45,72
344,In-Office,48,67,30
345,Remote,32,48,83
346,Remote,27,90,79
347,Remote,28,61,73
348,In-Office,39,66,52
349,In-Office,34,42,63
350,Remote,31,68,76
351,In-Office,52,62,54
352,Remote,38,58,72
353,Remote,38,83,50
354,In-Office,40,56,61
355,In-Office,47,79,52
356,Remote,31,88,72
357,In-Office,52,67,42
358,In-Office,37,49,69
359,Remote,43,97,78
360,Remote,43,68,58
361,In-Office,50,69,61
362,Remote,37,78,82
363,Remote,44,81,78
364,In-Office,48,60,71
365,Remote,25,87,58
366,Remote,37,64,75
367,In-Office,44,49,66
368,In-Office,41,73,60
369,Remote,37,63,64
370,Remote,31,85,86
371,In-Office,40,75,27
372,In-Office,37,55,39
373,In-Office,35,69,56
374,In-Office,47,71,63
375,Remote,39,74,58
376,In-Office,51,59,45
377,In-Office,43,55,53
378,Remote,37,79,61
379,In-Office,42,75,67
380,Remote,49,89,81
381,In-Office,36,72,59
382,In-Office,41,66,74
383,In-Office,48,56,71
384,Remote,30,77,66
385,Remote,33,84,59
386,In-Office,56,46,51
387,Remote,37,82,68
388,Remote,34,79,67
389,Remote,44,85,78
390,Remote,28,74,66
391,Remote,27,79,64
392,Remote,39,62,87
393,In-Office,39,67,71
394,In-Office,41,73,41
395,Remote,45,75,64
396,In-Office,43,73,51
397,In-Office,40,62,42
398,In-Office,55,59,72
399,In-Office,46,55,59
400,Remote,40,72,81
401,In-Office,51,74,53
402,In-Office,38,58,62
403,Remote,38,48,69
404,Remote,36,71,82
405,In-Office,47,78,56
406,In-Office,50,81,79
407,In-Office,38,62,54
408,In-Office,47,71,47
409,In-Office,45,44,81
410,In-Office,41,65,55
411,Remote,43,40,69
412,In-Office,44,60,85
413,In-Office,39,72,65
414,Remote,43,66,62
415,Remote,42,80,54
416,Remote,31,79,78
417,Remote,30,40,75
418,In-Office,37,44,17
419,In-Office,49,66,56
420,In-Office,53,71,84
421,In-Office,36,64,35
422,In-Office,43,62,69
423,In-Office,45,71,70
424,Remote,50,71,60
425,In-Office,46,56,82
426,Remote,33,68,65
427,Remote,40,73,63
428,In-Office,54,56,60
429,Remote,39,55,74
430,In-Office,38,73,45
431,Remote,39,88,78
432,In-Office,46,62,51
433,Remote,45,66,59
434,In-Office,48,57,45
435,In-Office,36,60,58
436,In-Office,46,74,67
437,In-Office,43,63,67
438,In-Office,52,66,52
439,Remote,28,57,76
440,Remote,39,81,68
441,Remote,44,69,79
442,In-Office,44,58,68
443,Remote,37,79,70
444,In-Office,44,88,77
445,In-Office,49,66,75
446,Remote,38,75,66
447,Remote,34,36,72
448,In-Office,42,80,60
449,Remote,26,74,59
450,In-Office,47,67,74
451,In-Office,40,65,39
452,In-Office,49,70,67
453,In-Office,45,69,84
454,In-Office,43,66,43
455,Remote,28,76,81
456,Remote,33,72,65
457,In-Office,41,67,37
458,In-Office,52,58,70
459,Remote,26,83,76
460,Remote,37,63,72
461,In-Office,37,62,75
462,Remote,40,75,60
463,In-Office,48,65,25
464,Remote,40,74,82
465,In-Office,38,33,64
466,Remote,37,54,60
467,In-Office,61,61,70
468,Remote,30,49,68
469,Remote,33,70,68
470,In-Office,46,63,41
471,Remote,38,51,49
472,In-Office,49,70,59
473,Remote,25,66,67
474,In-Office,35,57,69
475,Remote,44,69,77
476,In-Office,33,71,47
477,Remote,37,72,83
478,In-Office,39,71,55
479,Remote,33,72,61
480,In-Office,44,64,63
481,In-Office,45,72,73
482,In-Office,38,73,42
483,Remote,39,82,50
484,In-Office,45,60,48
485,Remote,44,67,61
486,In-Office,45,71,57
487,Remote,43,81,48
488,In-Office,41,59,67
489,Remote,16,105,75
490,Remote,36,89,93
491,In-Office,50,74,61
492,Remote,34,69,61
493,Remote,30,58,69
494,In-Office,34,66,59
495,Remote,36,68,100
496,Remote,44,60,72
497,Remote,30,62,56
498,In-Office,47,58,74
499,Remote,41,91,61
500,In-Office,47,71,52
501,Remote,29,94,72
502,Remote,39,65,57
503,Remote,31,73,59
504,In-Office,44,48,43
505,Remote,39,82,66
506,Remote,27,62,66
507,In-Office,48,74,52
508,Remote,26,78,61
509,In-Office,41,78,72
510,In-Office,45,52,63
511,Remote,42,70,83
512,In-Office,52,81,64
513,Remote,39,91,74
514,In-Office,41,60,63
515,In-Office,37,63,76
516,Remote,19,93,81
517,In-Office,42,70,60
518,In-Office,52,74,38
519,In-Office,48,62,61
520,In-Office,40,82,75
521,In-Office,40,51,54
522,Remote,38,77,82
523,In-Office,49,74,64
524,Remote,25,72,80
525,In-Office,44,70,55
526,Remote,27,73,73
527,Remote,30,72,60
528,In-Office,51,62,81
529,In-Office,54,64,44
530,In-Office,32,50,39
531,Remote,44,76,73
532,In-Office,31,53,73
533,Remote,37,73,75
534,Remote,46,72,70
535,Remote,36,103,49
536,In-Office,49,63,68
537,In-Office,41,64,70
538,Remote,56,84,61
539,Remote,32,69,52
540,In-Office,43,72,40
541,Remote,42,80,62
542,In-Office,44,80,71
543,Remote,35,72,70
544,In-Office,41,43,90
545,Remote,36,79,69
546,In-Office,40,63,36
547,Remote,50,60,59
548,In-Office,42,77,60
549,In-Office,37,77,70
550,Remote,38,83,93
551,Remote,50,66,86
552,In-Office,47,69,34
553,Remote,33,65,78
554,In-Office,51,44,59
555,Remote,42,72,77
556,In-Office,47,68,55
557,In-Office,37,53,70
558,In-Office,45,63,53
559,In-Office,43,75,54
560,In-Office,36,72,56
561,In-Office,45,81,59
562,Remote,37,60,67
563,Remote,39,56,72
564,Remote,35,75,80
565,In-Office,47,79,45
566,In-Office,45,65,43
567,In-Office,50,88,59
568,In-Office,48,65,49
569,Remote,22,66,56
570,Remote,46,73,66
571,In-Office,50,53,48
572,Remote,35,87,75
573,Remote,36,75,74
574,In-Office,46,54,60
575,Remote,27,75,65
576,In-Office,60,64,38
577,Remote,34,81,86
578,In-Office,41,49,72
579,In-Office,36,60,56
580,In-Office,44,71,49
581,In-Office,43,64,62
582,Remote,35,80,78
583,In-Office,47,69,36
584,In-Office,45,69,70
585,In-Office,40,58,51
586,Remote,38,87,65
587,In-Office,50,66,58
588,Remote,33,83,73
589,In-Office,58,56,67
590,Remote,31,64,69
591,Remote,35,110,68
592,In-Office,38,67,28
593,Remote,34,75,77
594,In-Office,50,59,57
595,In-Office,40,53,64
596,In-Office,37,60,45
597,Remote,38,96,56
598,Remote,22,73,70
599,In-Office,46,60,56
600,In-Office,47,75,30
601,Remote,32,77,60
602,In-Office,55,58,59
603,In-Office,48,59,32
604,In-Office,42,75,54
605,Remote,29,86,66
606,Remote,31,76,77
607,Remote,51,84,81
608,In-Office,41,54,60
609,In-Office,45,54,57
610,In-Office,47,68,67
611,Remote,37,68,64
612,In-Office,37,82,60
613,In-Office,43,55,104
614,In-Office,38,60,66
615,In-Office,48,74,87
616,Remote,38,62,67
617,Remote,37,99,56
618,In-Office,52,66,72
619,Remote,34,64,77
620,Remote,39,86,69
621,In-Office,41,49,72
622,In-Office,47,55,51
623,Remote,31,57,61
624,In-Office,38,60,48
625,Remote,23,99,82
626,In-Office,40,67,66
627,Remote,43,65,80
628,In-Office,41,51,70
629,Remote,44,106,58
630,Remote,39,70,77
631,Remote,24,59,62
632,In-Office,45,58,69
633,Remote,42,82,86
634,Remote,37,60,83
635,In-Office,41,74,83
636,In-Office,47,50,46
637,Remote,44,72,70
638,Remote,40,83,72
639,In-Office,43,61,72
640,In-Office,48,62,76
641,In-Office,44,56,48
642,In-Office,39,62,78
643,In-Office,40,66,50
644,Remote,33,56,67
645,In-Office,43,70,63
646,Remote,26,88,72
647,Remote,36,74,64
648,Remote,36,80,52
649,In-Office,41,62,63
650,Remote,43,65,65
651,Remote,31,65,66
652,In-Office,49,54,66
653,Remote,23,68,66
654,Remote,46,71,47
655,In-Office,33,65,69
656,Remote,37,77,81
657,Remote,31,85,53
658,Remote,28,53,67
659,In-Office,44,66,60
660,In-Office,39,63,37
661,In-Office,53,61,52
662,Remote,46,60,58
663,Remote,27,74,74
664,In-Office,49,90,26
665,Remote,39,68,64
666,Remote,30,64,86
667,In-Office,50,65,80
668,In-Office,35,51,27
669,Remote,30,76,71
670,Remote,36,58,78
671,Remote,36,83,51
672,In-Office,46,53,54
673,In-Office,48,65,47
674,In-Office,45,49,77
675,In-Office,43,76,52
676,Remote,31,65,78
677,In-Office,40,71,54
678,In-Office,33,59,42
679,In-Office,45,53,73
680,In-Office,44,63,69
681,In-Office,50,64,48
682,Remote,22,66,63
683,Remote,35,70,76
684,In-Office,41,64,77
685,Remote,37,74,63
686,In-Office,41,56,51
687,In-Office,49,62,39
688,Remote,47,78,55
689,Remote,31,76,87
690,In-Office,38,74,80
691,In-Office,41,62,44
692,In-Office,43,64,69
693,Remote,42,66,50
694,In-Office,44,67,63
695,In-Office,43,66,82
696,In-Office,47,61,52
697,Remote,33,94,68
698,In-Office,44,60,76
699,In-Office,56,69,61
700,Remote,35,46,77
701,In-Office,45,69,49
702,In-Office,42,60,75
703,Remote,32,99,74
704,In-Office,37,63,50
705,Remote,19,94,77
706,Remote,38,76,56
707,In-Office,42,73,44
708,In-Office,29,62,57
709,In-Office,45,72,69
710,In-Office,46,76,37
711,Remote,38,82,57
712,In-Office,35,57,50
713,Remote,40,67,61
714,In-Office,41,76,60
715,In-Office,43,63,79
716,In-Office,40,78,63
717,Remote,33,105,59
718,In-Office,42,52,74
719,In-Office,55,81,78
720,In-Office,43,61,34
721,In-Office,57,69,52
722,Remote,44,63,74
723,In-Office,43,71,59
724,Remote,24,75,80
725,Remote,34,84,59
726,Remote,34,67,77
727,Remote,35,83,80
728,Remote,39,78,60
729,Remote,34,68,66
730,In-Office,42,55,30
731,Remote,30,77,56
732,Remote,35,97,80
733,Remote,46,79,81
734,In-Office,40,58,18
735,In-Office,52,80,51
736,Remote,33,65,73
737,In-Office,51,47,66
738,Remote,33,76,74
739,Remote,33,73,67
740,In-Office,50,69,63
741,Remote,26,70,78
742,In-Office,45,71,86
743,In-Office,51,65,52
744,Remote,17,72,66
745,Remote,37,73,66
746,In-Office,34,55,67
747,Remote,47,73,73
748,Remote,41,65,73
749,Remote,29,85,71
750,In-Office,46,57,70
751,In-Office,57,54,54
752,Remote,36,84,64
753,In-Office,28,78,71
754,In-Office,34,58,83
755,In-Office,53,74,57
756,In-Office,45,63,76
757,In-Office,39,56,75
758,Remote,34,91,63
759,Remote,34,63,70
760,Remote,24,69,55
761,In-Office,49,72,34
762,In-Office,53,89,60
763,Remote,30,108,56
764,In-Office,45,66,80
765,Remote,37,69,60
766,Remote,32,62,70
767,Remote,31,57,82
768,In-Office,42,52,57
769,In-Office,45,47,64
770,Remote,27,95,75
771,Remote,32,66,68
772,Remote,39,74,67
773,Remote,35,67,66
774,In-Office,32,74,64
775,In-Office,40,83,61
776,Remote,27,85,73
777,Remote,37,69,74
778,In-Office,43,70,31
779,In-Office,42,82,48
780,Remote,30,69,57
781,Remote,19,72,71
782,Remote,34,73,70
783,In-Office,51,63,51
784,In-Office,43,70,81
785,In-Office,41,65,65
786,Remote,28,75,55
787,Remote,22,79,66
788,In-Office,46,64,45
789,In-Office,44,52,80
790,Remote,25,72,59
791,In-Office,48,61,52
792,In-Office,50,65,67
793,Remote,28,58,71
794,In-Office,43,71,58
795,Remote,36,55,88
796,Remote,33,83,61
797,Remote,37,59,74
798,Remote,32,75,76
799,Remote,26,66,74
800,Remote,49,73,75
801,Remote,34,98,52
802,In-Office,45,48,22
803,Remote,37,76,67
804,Remote,34,112,67
805,In-Office,48,58,64
806,In-Office,43,60,87
807,In-Office,52,66,25
808,Remote,32,107,67
809,In-Office,51,79,63
810,Remote,29,45,76
811,Remote,29,77,57
812,Remote,33,75,72
813,Remote,27,89,64
814,In-Office,34,63,60
815,In-Office,45,78,56
816,Remote,34,61,78
817,Remote,36,69,50
818,Remote,45,60,64
819,In-Office,47,53,37
820,Remote,20,83,64
821,Remote,55,63,60
822,In-Office,41,67,52
823,In-Office,48,55,39
824,Remote,22,48,64
825,In-Office,43,58,78
826,In-Office,52,61,33
827,Remote,31,67,63
828,In-Office,40,58,54
829,Remote,30,77,73
830,In-Office,39,77,45
831,Remote,23,79,61
832,Remote,37,46,83
833,Remote,39,56,55
834,In-Office,55,57,47
835,Remote,19,70,67
836,In-Office,49,51,37
837,Remote,38,87,54
838,Remote,42,75,80
839,In-Office,44,39,57
840,Remote,42,64,66
841,Remote,33,40,86
842,In-Office,39,70,58
843,Remote,43,79,67
844,Remote,28,84,51
845,Remote,39,61,82
846,Remote,36,82,70
847,In-Office,34,56,70
848,In-Office,45,76,66
849,Remote,28,65,71
850,In-Office,31,81,66
851,Remote,43,56,82
852,In-Office,58,51,71
853,Remote,35,56,74
854,Remote,40,67,81
855,Remote,23,57,71
856,Remote,35,66,78
857,Remote,38,85,68
858,Remote,39,69,90
859,In-Office,40,86,60
860,Remote,25,91,71
861,In-Office,50,77,65
862,Remote,30,86,70
863,In-Office,49,43,66
864,In-Office,41,81,69
865,In-Office,46,69,45
866,Remote,46,98,73
867,Remote,46,68,62
868,In-Office,45,69,54
869,Remote,38,78,60
870,In-Office,48,73,62
871,Remote,43,60,74
872,In-Office,37,53,50
873,In-Office,39,59,56
874,Remote,40,71,54
875,In-Office,51,56,59
876,Remote,38,77,80
877,In-Office,47,56,92
878,In-Office,46,63,74
879,Remote,36,79,94
880,Remote,33,71,71
881,Remote,42,56,50
882,In-Office,41,48,53
883,Remote,38,64,55
884,In-Office,45,73,34
885,In-Office,49,73,74
886,Remote,43,101,66
887,Remote,35,70,70
888,In-Office,54,51,47
889,In-Office,53,75,54
890,Remote,40,79,85
891,Remote,35,87,96
892,Remote,39,75,77
893,Remote,32,103,71
894,Remote,33,64,80
895,In-Office,50,60,68
896,In-Office,35,66,66
897,In-Office,55,57,40
898,In-Office,39,51,80
899,Remote,45,78,82
900,Remote,35,73,66
901,Remote,32,56,72
902,In-Office,44,72,61
903,In-Office,44,56,61
904,Remote,40,61,70
905,Remote,36,66,64
906,In-Office,46,53,65
907,In-Office,39,75,95
908,Remote,28,81,62
909,Remote,42,59,74
910,In-Office,39,62,44
911,Remote,40,64,75
912,Remote,32,73,71
913,Remote,29,77,85
914,In-Office,40,76,82
915,In-Office,40,50,64
916,In-Office,41,83,60
917,In-Office,40,53,76
918,In-Office,41,65,74
919,In-Office,42,64,59
920,In-Office,49,70,56
921,Remote,35,70,55
922,Remote,36,97,61
923,Remote,29,64,77
924,Remote,38,73,60
925,Remote,35,56,71
926,Remote,41,59,54
927,Remote,46,67,81
928,In-Office,44,63,66
929,In-Office,39,66,54
930,Remote,25,79,67
931,Remote,33,60,85
932,In-Office,50,74,55
933,Remote,22,98,69
934,Remote,29,80,81
935,In-Office,44,77,76
936,Remote,27,66,79
937,In-Office,28,63,38
938,Remote,31,71,66
939,In-Office,41,54,94
940,In-Office,56,53,83
941,In-Office,42,66,59
942,Remote,30,86,71
943,In-Office,42,51,46
944,Remote,23,75,58
945,Remote,33,91,81
946,Remote,34,73,88
947,Remote,38,71,55
948,In-Office,47,73,50
949,In-Office,46,61,57
950,Remote,17,72,79
951,Remote,30,75,62
952,In-Office,47,62,45
953,Remote,44,86,63
954,In-Office,47,70,69
955,Remote,23,87,64
956,Remote,32,106,73
957,In-Office,42,42,80
958,Remote,25,62,66
959,In-Office,53,72,57
960,Remote,37,67,71
961,Remote,35,86,79
962,Remote,38,70,77
963,In-Office,44,54,53
964,Remote,35,85,68
965,Remote,26,75,71
966,Remote,36,86,80
967,Remote,30,67,59
968,In-Office,49,79,55
969,In-Office,43,79,67
970,Remote,38,60,76
971,In-Office,39,53,54
972,Remote,30,72,55
973,Remote,41,88,50
974,Remote,41,65,78
975,In-Office,44,65,57
976,In-Office,52,52,69
977,In-Office,51,72,94
978,In-Office,41,74,58
979,In-Office,52,64,54
980,In-Office,52,60,38
981,In-Office,41,71,80
982,In-Office,45,78,39
983,In-Office,42,62,58
984,Remote,35,83,65
985,In-Office,45,64,46
986,In-Office,44,63,57
987,In-Office,45,65,53
988,In-Office,52,53,49
989,In-Office,61,54,39
990,In-Office,49,44,56
991,In-Office,57,49,30
992,In-Office,36,73,76
993,In-Office,41,71,80
994,In-Office,55,62,25
995,In-Office,40,60,56
996,Remote,33,88,82
997,Remote,33,88,73
998,In-Office,45,74,61
999,In-Office,57,50,52
1000,Remote,34,80,82
